CO_CURSO,NT_GER,QE_I63_1,QE_I63_2,QE_I63_3,QE_I63_4,QE_I63_5,QE_I63_6,QE_I63_7,QE_I63_8,QE_I15_A,QE_I15_B,QE_I15_C,QE_I15_D,QE_I15_E,QE_I15_F
18790,39.34871794871795,0.0,0.0,0.0,0.20930232558139536,0.16279069767441862,0.627906976744186,0.0,0.0,0.8837209302325582,0.0,0.046511627906976744,0.023255813953488372,0.046511627906976744,0.0
18818,37.34230769230769,0.0,0.0,0.07407407407407407,0.0,0.1111111111111111,0.7777777777777778,0.037037037037037035,0.0,0.8888888888888888,0.0,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.0
18826,30.633333333333333,0.0,0.045454545454545456,0.09090909090909091,0.09090909090909091,0.36363636363636365,0.36363636363636365,0.022727272727272728,0.022727272727272728,0.8409090909090909,0.0,0.0,0.11363636363636363,0.045454545454545456,0.0
18833,26.382926829268293,0.0851063829787234,0.0425531914893617,0.10638297872340426,0.2127659574468085,0.2127659574468085,0.3191489361702128,0.02127659574468085,0.0,0.9148936170212766,0.0,0.0,0.06382978723404255,0.0,0.02127659574468085
18840,30.3875,0.0,0.027777777777777776,0.027777777777777776,0.2777777777777778,0.3333333333333333,0.3333333333333333,0.0,0.0,0.8333333333333334,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0
18903,38.05263157894737,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9473684210526315,0.05263157894736842,0.0,0.0,0.0,0.0
18930,35.833333333333336,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18933,38.74285714285714,0.0,0.0,0.125,0.0,0.1875,0.6875,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18957,32.01875,0.0,0.0,0.0,0.0,0.3125,0.5625,0.125,0.0,0.5625,0.0625,0.1875,0.125,0.0625,0.0
18974,37.20102040816327,0.02857142857142857,0.0380952380952381,0.01904761904761905,0.09523809523809523,0.26666666666666666,0.5333333333333333,0.01904761904761905,0.0,0.9047619047619048,0.01904761904761905,0.0380952380952381,0.009523809523809525,0.02857142857142857,0.0
19010,43.5375,0.0,0.0,0.0,0.0,0.5,0.25,0.125,0.125,0.875,0.0,0.125,0.0,0.0,0.0
1904,46.008,0.0,0.0,0.0,0.018867924528301886,0.11320754716981132,0.8679245283018868,0.0,0.0,0.8301886792452831,0.0,0.07547169811320754,0.07547169811320754,0.018867924528301886,0.0
19042,37.795,0.14285714285714285,0.23809523809523808,0.23809523809523808,0.2857142857142857,0.047619047619047616,0.047619047619047616,0.0,0.0,0.47619047619047616,0.09523809523809523,0.09523809523809523,0.23809523809523808,0.09523809523809523,0.0
19047,33.454385964912284,0.0,0.0,0.0,0.08196721311475409,0.06557377049180328,0.8360655737704918,0.0,0.01639344262295082,0.819672131147541,0.01639344262295082,0.04918032786885246,0.08196721311475409,0.03278688524590164,0.0
19242,25.692105263157895,0.025,0.025,0.075,0.15,0.2,0.475,0.025,0.025,0.75,0.0,0.2,0.0,0.025,0.025
